Treatment_group_ID;Treatment;Mouse_ID;uCT_volume_2024-01-01;uCT_volume_2024-01-05;uCT_volume_2024-01-09;uCT_volume_2024-01-13;uCT_volume_2024-01-17;uCT_volume_2024-01-21
Ctrl;Control;S1;1.0195441737712385;NA;NA;NA;NA;236.53267366317846
Ctrl;Control;S2;2.154997117213502;NA;NA;NA;NA;551.4217407291534
Ctrl;Control;S3;1.8189627139482147;NA;NA;NA;NA;395.5633120019849
Ctrl;Control;S4;0.53385578170330406;NA;NA;NA;NA;115.8486145162949
Ctrl;Control;S5;1.6580573929879616;NA;NA;NA;NA;214.19230569486763
Ctrl;Control;S6;2.492621770633617;NA;NA;NA;NA;633.8650637842632
Ctrl;Control;S7;1.4730912344532139;NA;NA;NA;NA;473.0439266067043
Ctrl;Control;S8;1.6213907461098231;NA;NA;NA;NA;345.11688941525637
Ctrl;Control;S9;2.478928065285294;NA;NA;NA;NA;624.5722728195356
Ctrl;Control;S10;2.7351895863267734;NA;NA;NA;NA;1035.1344047218292
